titulo,url,categoria,fecha
El enfoque,/emision-en-directo-ondamadrid/,Desconocida,FechaDesconocida
Enamorados de Madrid,https://www.telemadrid.es/programas/enamorados-de-madrid,programas,FechaDesconocida
Hasta la cocina,/programas/hasta-la-cocina,Desconocida,FechaDesconocida
Mentes peligrosas,https://www.telemadrid.es/programas/mentes-peligrosas,programas,FechaDesconocida
Enamorados de Madrid,https://www.telemadrid.es/programas/enamorados-de-madrid,programas,FechaDesconocida
Veto a los coches contaminantes,https://www.telemadrid.es/tag/Movilidad,tag,FechaDesconocida
Inmigrantes,https://www.telemadrid.es/tag/Inmigrantes/,tag,FechaDesconocida
En Telemadrid,https://www.telemadrid.es/programas,programas,FechaDesconocida
Noticias de Madrid,https://www.telemadrid.es/noticias/madrid/,noticias,FechaDesconocida
Más actualidad,https://www.telemadrid.es/noticias/,noticias,FechaDesconocida
Reproducción asistida y natalidad,https://www.telemadrid.es/programas/madrid-mejora-tu-vida/Novedades-y-avances-en-la-tecnica-de-reproduccion-asistida-como-afrontar-el-desafio-demografico-2-2633756609--20240115030000.html,programas,2024-01-15
"Eva Nogales: colmenareña, de padre pastor,  madre bordadora y candidata al Nobel",https://www.telemadrid.es/programas/disfruta-madrid/Eva-Nogales-colmenarena-de-padre-pastor-madre-bordadora-y-candidata-al-Nobel-2-2632856739--20240112103050.html,programas,2024-01-12
Cepyme alerta de que la subida del SMI tendrá un gran impacto en la pequeña y mediana empresa,/programas/120-minutos/Cepyme-alerta-de-que-la-subida-del-SMI-tendra-un-gran-impacto-en-la-pequena-y-mediana-empresa-2-2633756614--20240115022947.html,Cepyme-alerta-de-que-la-subida-del-SMI-tendra-un-gran-impacto-en-la-pequena-y-mediana-empresa-2-2633756614--20240115022947.html,2024-01-15
Una avería paraliza este lunes todos los trenes de alta velocidad entre Málaga y Madrid,/programas/120-minutos/Una-averia-paraliza-este-lunes-todos-los-trenes-de-alta-velocidad-entre-Malaga-y-Madrid-2-2633756613--20240115014418.html,Una-averia-paraliza-este-lunes-todos-los-trenes-de-alta-velocidad-entre-Malaga-y-Madrid-2-2633756613--20240115014418.html,2024-01-15
"Salir por la noche en Madrid es, de media, más caro que en cualquier otra comunidad",/programas/120-minutos/Salir-por-la-noche-en-Madrid-es-de-media-mas-caro-que-en-cualquier-otra-comunidad-2-2632856707--20240112030657.html,Salir-por-la-noche-en-Madrid-es-de-media-mas-caro-que-en-cualquier-otra-comunidad-2-2632856707--20240112030657.html,2024-01-12
Aumenta un 15% la venta de localizadores GPS para mayores,/programas/madrid-directo/Aumenta-un-15-la-venta-de-localizadores-GPS-para-mayores-2-2633756652--20240115092708.html,Aumenta-un-15-la-venta-de-localizadores-GPS-para-mayores-2-2633756652--20240115092708.html,2024-01-15
Arranca la venta de panecillos de San Antón,/programas/madrid-directo/Arranca-la-venta-de-panecillos-de-San-Anton-2-2632856740--20240112083910.html,Arranca-la-venta-de-panecillos-de-San-Anton-2-2632856740--20240112083910.html,2024-01-12
La ola de frío llena los albergues de personas en situación de calle,/programas/madrid-directo/La-ola-de-frio-llena-los-albergues-de-personas-en-situacion-de-calle-2-2632856737--20240112083744.html,La-ola-de-frio-llena-los-albergues-de-personas-en-situacion-de-calle-2-2632856737--20240112083744.html,2024-01-12
"Se busca a Susana Sánchez, una mujer de 32 años desaparecida en Cuatro Vientos",/programas/madrid-directo/Se-busca-a-Susana-Sanchez-una-mujer-de-32-anos-desaparecida-en-Cuatro-Vientos-2-2632856736--20240112083506.html,Se-busca-a-Susana-Sanchez-una-mujer-de-32-anos-desaparecida-en-Cuatro-Vientos-2-2632856736--20240112083506.html,2024-01-12
Estas son las frutas y verduras de temporada,/programas/madrid-directo/Estas-son-las-frutas-y-verduras-de-temporada-2-2632556775--20240111090924.html,Estas-son-las-frutas-y-verduras-de-temporada-2-2632556775--20240111090924.html,2024-01-11
¿A partir de que cantidad de dinero serías feliz?,/programas/juntos/A-partir-de-que-cantidad-de-dinero-serias-feliz-2-2633756660--20240115110528.html,A-partir-de-que-cantidad-de-dinero-serias-feliz-2-2633756660--20240115110528.html,2024-01-15
Los rituales amorosos más conocidos de España,/programas/juntos/Los-rituales-amorosos-mas-conocidos-de-Espana-2-2632556782--20240111020857.html,Los-rituales-amorosos-mas-conocidos-de-Espana-2-2632556782--20240111020857.html,2024-01-11
¿Qué famosos han desheredado a sus hijos?,/programas/juntos/Que-famosos-han-desheredado-a-sus-hijos-2-2632256808--20240110105425.html,Que-famosos-han-desheredado-a-sus-hijos-2-2632256808--20240110105425.html,2024-01-10
"La reserva surrealista: pide una mesa ""discreta"" en un restaurante para dejar a su pareja",/programas/juntos/La-reserva-surrealista-pide-una-mesa-discreta-en-un-restaurante-para-dejar-a-su-pareja-2-2632256811--20240110105415.html,La-reserva-surrealista-pide-una-mesa-discreta-en-un-restaurante-para-dejar-a-su-pareja-2-2632256811--20240110105415.html,2024-01-10
Cosmeticorexia: ¿Hay peligro en el uso de cosméticos en menores de edad?,/programas/juntos/Cosmeticorexia-Hay-peligro-en-el-uso-de-cosmeticos-en-menores-de-edad-2-2631956833--20240109110115.html,Cosmeticorexia-Hay-peligro-en-el-uso-de-cosmeticos-en-menores-de-edad-2-2631956833--20240109110115.html,2024-01-09
Detienen a un hombre de 56 años por acosar a Shakira y presentarse en su casa,/programas/juntos/Detienen-a-un-hombre-de-56-anos-por-acosar-a-Shakira-y-presentarse-en-su-casa-2-2631956834--20240109110108.html,Detienen-a-un-hombre-de-56-anos-por-acosar-a-Shakira-y-presentarse-en-su-casa-2-2631956834--20240109110108.html,2024-01-09
Ana Obregón lanza un comunicado sobre su aportación a la Fundación Aless Lequio,/programas/juntos/Ana-Obregon-lanza-un-comunicado-sobre-su-aportacion-a-la-Fundacion-Aless-Lequio-2-2631656869--20240108105942.html,Ana-Obregon-lanza-un-comunicado-sobre-su-aportacion-a-la-Fundacion-Aless-Lequio-2-2631656869--20240108105942.html,2024-01-08
Estos son momentos más virales de las Cabalgatas de Reyes Magos 2024,/programas/juntos/Estos-son-momentos-mas-virales-de-las-Cabalgatas-de-Reyes-Magos-2024-2-2631656867--20240108105915.html,Estos-son-momentos-mas-virales-de-las-Cabalgatas-de-Reyes-Magos-2024-2-2631656867--20240108105915.html,2024-01-08
Malena Gracia fue expulsada del tanatorio por el hijo de Paco Arévalo,/programas/juntos/Malena-Gracia-fue-expulsada-del-tanatorio-por-el-hijo-de-Paco-Arevalo-2-2630456983--20240104015806.html,Malena-Gracia-fue-expulsada-del-tanatorio-por-el-hijo-de-Paco-Arevalo-2-2630456983--20240104015806.html,2024-01-04
Acusan a Ana Obregón de no donar todos los beneficios de su libro a la Fundación Aless Lequio,/programas/juntos/Acusan-a-Ana-Obregon-de-no-donar-todos-los-beneficios-de-su-libro-a-la-Fundacion-Aless-Lequio-2-2630157009--20240103110713.html,Acusan-a-Ana-Obregon-de-no-donar-todos-los-beneficios-de-su-libro-a-la-Fundacion-Aless-Lequio-2-2630157009--20240103110713.html,2024-01-03
